glottocode,glottocode.1,language_name,iso_code,family_id,macroarea,lat,lng,countries,speaker_count,endangerment_level,lei_score,intergenerational_transmission,level,description,country,name
adam1238,adam1238,Adamorobe Sign Language,ads,sign1238,Africa,5.834,-0.151,GH,261,Severely Endangered,83.6,0.3267790010388299,language,,GH,Adamorobe Sign Language
adam1253,adam1253,Adamawa Fulfulde,fub,atla1278,Africa,8.140326,13.077338,CM ER ET NG SD TD,474,Severely Endangered,69.6,0.3867172913017024,language,,CM ER ET NG SD TD,Adamawa Fulfulde
adan1247,adan1247,Adangme,ada,atla1278,Africa,5.9437,0.13243,GH,198,Severely Endangered,72.5,0.4810011750958839,language,,GH,Adangme
adan1248,adan1248,Adangbe,adq,atla1278,Africa,6.50546,0.727155,GH TG,620,Severely Endangered,80.0,0.5470188724840835,language,,GH TG,Adangbe
adan1251,adan1251,Adang,adn,timo1261,Papunesia,-8.18958,124.448,ID,839,Severely Endangered,75.8,0.4460138228268632,language,,ID,Adang
adap1234,adap1234,Adap,adp,book1242,Eurasia,27.141,90.3369,BT,11213,Vulnerable,35.1,0.8627592171775943,language,,BT,Adap
adas1235,adas1235,Adasen,tiu,aust1307,Papunesia,17.8187,120.905,PH,65,Critically Endangered,83.0,0.2667668864382945,language,,PH,Adasen
adel1244,adel1244,Adele,ade,atla1278,Africa,8.16975,0.619185,GH TG,373,Severely Endangered,76.8,0.4875284936258413,language,,GH TG,Adele
adha1238,adha1238,Adhari,,indo1319,Eurasia,40.05,48.06,AZ,10677,Vulnerable,30.2,0.8530992747234901,language,,AZ,Adhari
adho1243,adho1243,Adhola,adh,nilo1247,Africa,0.73235,34.0341,KE UG,38,Critically Endangered,86.6,0.0174763953571396,language,,KE UG,Adhola
adio1239,adio1239,Adioukrou,adj,atla1278,Africa,5.38228,-4.52522,CI,3906,Definitely Endangered,52.6,0.7334891396531174,language,,CI,Adioukrou
adiv1239,adiv1239,Kotia-Adivasi Oriya-Desiya,ort,indo1319,Eurasia,18.1046,82.8487,IN,109715,Safe,14.9,0.9546328065626238,language,,IN,Kotia-Adivasi Oriya-Desiya
adiw1235,adiw1235,Adiwasi Garasia,gas,indo1319,Eurasia,24.0712,73.1426,IN,25606,Vulnerable,41.2,0.8830360219916862,language,,IN,Adiwasi Garasia
adny1235,adny1235,Adnyamathanha,adt,pama1250,Australia,-30.1451,138.671,AU,0,Extinct,102.6,0.0,language,,AU,Adnyamathanha
adon1237,adon1237,Adonara,adr,aust1307,Papunesia,-8.32027,123.159,ID,171,Severely Endangered,79.1,0.4576382073180976,language,,ID,Adonara
adug1238,adug1238,Aduge,adu,book1242,Africa,7.64567,6.13085,NG,122,Severely Endangered,83.3,0.3847376618804608,language,,NG,Aduge
adur1234,adur1234,Adurgari,,spee1234,Eurasia,33.79,69.32,AF,1875,Definitely Endangered,63.0,0.6355584860384078,language,,AF,Adurgari
adyg1241,adyg1241,West Circassian,ady,abkh1242,Eurasia,44.0,39.33,IL JO RU SY TR,1081,Definitely Endangered,68.8,0.7373809053454533,language,,IL JO RU SY TR,West Circassian
adze1240,adze1240,Adzera,adz,aust1307,Papunesia,-6.39394,146.294,PG,887,Severely Endangered,75.8,0.4356376672951049,language,,PG,Adzera
aeka1244,aeka1244,Aeka,aez,nucl1709,Papunesia,-8.855095,147.99477,PG,216,Severely Endangered,73.0,0.5486744591652555,language,,PG,Aeka
aeky1238,aeky1238,Aekyom,awi,kamu1264,Papunesia,-5.88478,141.532,PG,2777,Definitely Endangered,62.6,0.6646815518700249,language,,PG,Aekyom
aerr1238,aerr1238,Aer,aeq,indo1319,Eurasia,25.254,69.029,PK,107440,Safe,14.9,0.962916898675794,language,,PK,Aer
afad1236,afad1236,Afade,aal,afro1255,Africa,12.0551,14.6343,CM NG,421,Severely Endangered,79.7,0.5788955501658848,language,,CM NG,Afade
afar1241,afar1241,Afar,aar,afro1255,Africa,12.2281,41.8083,DJ ER ET,75,Critically Endangered,89.7,0.0632886530284482,language,,DJ ER ET,Afar
afgh1239,afgh1239,Afghan Sign Language,afg,sign1238,Eurasia,34.434167,70.447778,AF,8415,Definitely Endangered,61.5,0.7714850781778555,language,,AF,Afghan Sign Language
afit1238,afit1238,Afitti,aft,nyim1244,Africa,12.446,30.7611,SD,25,Critically Endangered,92.5,0.108129015634302,language,,SD,Afitti
afri1274,afri1274,Afrikaans,afr,indo1319,Africa,-31.63272,20.46356,BW MZ NA ZA ZM ZW,9867,Definitely Endangered,63.5,0.6858421063617948,language,,BW MZ NA ZA ZM ZW,Afrikaans
afro1254,afro1254,Afro-Seminole Creole,afs,indo1319,North America,31.7843,-99.2934,MX US,158,Severely Endangered,71.9,0.3529578331780589,language,,MX US,Afro-Seminole Creole
afud1235,afud1235,Afudu,,atla1278,Africa,9.831149,11.296849,NG,1231,Definitely Endangered,59.0,0.6976962750998666,language,,NG,Afudu
agar1251,agar1251,Agariya,agi,unat1236,Eurasia,24.5024,82.297,IN,925,Severely Endangered,86.1,0.582851724234931,language,,IN,Agariya
agar1252,agar1252,Agarabi,agd,nucl1709,Papunesia,-6.20604,145.917,PG,30,Critically Endangered,91.4,0.1013416891495903,language,,PG,Agarabi
agat1236,agat1236,Agatu,agc,atla1278,Africa,7.97915,7.71639,NG,145,Severely Endangered,79.5,0.3665538551031587,language,,NG,Agatu
agav1236,agav1236,Agavotaguerra,avo,unat1236,South America,-13.29849,-53.43936,BR,187,Severely Endangered,78.5,0.314129039443496,language,,BR,Agavotaguerra
aghe1239,aghe1239,Aghem,agq,atla1278,Africa,6.38956,10.0807,CM,6060,Definitely Endangered,53.9,0.7007181849658636,language,,CM,Aghem
aghu1253,aghu1253,Aghul,agx,nakh1245,Eurasia,41.9242,47.5843,AZ RU,7427,Definitely Endangered,63.8,0.7056541763750616,language,,AZ RU,Aghul
aghu1254,aghu1254,Aghu Tharnggalu,ggr,pama1250,Australia,-13.735,142.426,AU,55,Critically Endangered,96.3,0.2929171797500541,language,,AU,Aghu Tharnggalu
aghu1255,aghu1255,Aghu,ahh,nucl1709,Papunesia,-6.34674,140.043,ID,1912,Definitely Endangered,64.6,0.6493672800098257,language,,ID,Aghu
aghu1256,aghu1256,Aghu Tharnggalu (Retired),gtu,book1242,Australia,-15.0,144.0,AU,0,Extinct,104.6,0.0,language,,AU,Aghu Tharnggalu (Retired)
aghw1237,aghw1237,Aghwan,xag,nakh1245,Eurasia,40.374444,47.126667,AZ,19261,Vulnerable,30.0,0.8837827951200612,language,,AZ,Aghwan
agii1245,agii1245,Agi,aif,nucl1708,Papunesia,-3.49104,142.387,PG,4,Critically Endangered,89.6,0.0519307887686678,language,,PG,Agi
agob1244,agob1244,Agob-Ende-Kawam,kit,paho1240,Papunesia,-9.08521,142.532,PG,290,Severely Endangered,65.7,0.4371631403211061,language,,PG,Agob-Ende-Kawam
agoi1246,agoi1246,Robambami,ibm,atla1278,Africa,5.87953,8.21629,NG,254,Severely Endangered,81.1,0.4963263008570617,language,,NG,Robambami
agta1234,agta1234,Agta-Pahanan,apf,aust1307,Papunesia,17.0538,122.2802,PH,291,Severely Endangered,78.6,0.5550361330759436,language,,PH,Agta-Pahanan
agua1251,agua1251,Aguano,aga,unat1236,South America,-5.25,-75.8333,PE,82,Critically Endangered,97.4,0.2169246995815016,language,,PE,Aguano
agua1252,agua1252,Aguacateco,agu,maya1287,North America,15.3307,-91.3153,GT,1825,Definitely Endangered,53.9,0.7251305504102722,language,,GT,Aguacateco
agua1253,agua1253,Aguaruna,agr,jiva1245,South America,-5.30044,-77.9218,PE,0,Extinct,101.4,0.0,language,,PE,Aguaruna
agun1238,agun1238,Aguna,aug,atla1278,Africa,7.49256,1.74452,BJ TG,3207,Definitely Endangered,63.6,0.603477917363024,language,,BJ TG,Aguna
agus1235,agus1235,Agusan Manobo,msm,aust1307,Papunesia,8.62731,125.742,PH,51,Critically Endangered,93.6,0.1679548725086343,language,,PH,Agusan Manobo
agut1237,agut1237,Agutaynen,agn,aust1307,Papunesia,10.5328,119.655,PH,2321,Definitely Endangered,70.2,0.6736643793140504,language,,PH,Agutaynen
agwa1247,agwa1247,Agwagwune,yay,atla1278,Africa,5.81055,8.03166,NG,501,Severely Endangered,67.4,0.5903045237216786,language,,NG,Agwagwune
ahan1243,ahan1243,Ahanta,aha,atla1278,Africa,4.85147,-1.94657,GH,23,Critically Endangered,99.3,0.0979832906264235,language,,GH,Ahanta
ahan1244,ahan1244,Àhàn,ahn,atla1278,Africa,7.44139,6.00896,NG,5522,Definitely Endangered,54.6,0.6206999203698679,language,,NG,Àhàn
aher1237,aher1237,Aheri Gondi,esg,drav1251,Eurasia,19.4163,80.0058,IN,684,Severely Endangered,76.1,0.507215943799772,language,,IN,Aheri Gondi
aheu1239,aheu1239,Thavung,thm,aust1305,Eurasia,17.7655,104.229,LA TH,517,Severely Endangered,86.6,0.4237235583740644,language,,LA TH,Thavung
ahin1234,ahin1234,Ahin-Kayapa Kalanguya,kak,aust1307,Papunesia,16.321,120.90003,PH,441,Severely Endangered,73.9,0.4189536851973099,language,,PH,Ahin-Kayapa Kalanguya
ahir1243,ahir1243,Ahirani,ahr,book1242,Eurasia,21.552,73.685,IN,820,Severely Endangered,87.2,0.4139535513384919,language,,IN,Ahirani
ahom1240,ahom1240,Ahom,aho,taik1256,Eurasia,27.04023,94.32671,IN,41511,Vulnerable,43.6,0.8959532406438633,language,,IN,Ahom
ahte1237,ahte1237,Ahtena,aht,atha1245,North America,61.7068,-144.889,US,9546,Definitely Endangered,70.0,0.6288755376713301,language,,US,Ahtena
ahwa1235,ahwa1235,Ndunic,nfd,atla1278,Africa,9.17635,8.56205,NG,236,Severely Endangered,81.0,0.5529960981469213,language,,NG,Ndunic
aich1238,aich1238,Ai-Cham,aih,taik1256,Eurasia,25.4908,107.844,CN,1072,Definitely Endangered,61.0,0.7711016697470129,language,,CN,Ai-Cham
aigh1235,aigh1235,Aighon,aix,aust1307,Papunesia,-5.99488,150.272,PG,844,Severely Endangered,72.2,0.4976073557676032,language,,PG,Aighon
aika1237,aika1237,Aikanã,tba,,South America,-12.6695,-60.5353,BR,30,Critically Endangered,82.7,0.0792935565340404,language,,BR,Aikanã
aikl1237,aikl1237,Aiklep,mwg,aust1307,Papunesia,-6.23575,149.571,PG,26,Critically Endangered,85.2,0.1862355105183413,language,,PG,Aiklep
aima1241,aima1241,Aimaq,aiq,indo1319,Eurasia,35.283,59.1756,AF IR,50943,Vulnerable,52.8,0.8932873609123856,language,,AF IR,Aimaq
aime1238,aime1238,Aimele,ail,bosa1245,Papunesia,-6.68656,142.656,PG,118,Severely Endangered,71.2,0.5002428327685401,language,,PG,Aimele
aimo1244,aimo1244,Aimol,aim,sino1245,Eurasia,24.6437,94.3556,IN NP,93,Critically Endangered,89.2,0.0429263835372387,language,,IN NP,Aimol
ainb1238,ainb1238,Ainbai,aic,bord1247,Papunesia,-3.09214,141.149,PG,454,Severely Endangered,78.3,0.5337549465067529,language,,PG,Ainbai
ainu1240,ainu1240,Hokkaido Ainu,ain,ainu1252,Eurasia,43.633654,142.46167,JP,412,Severely Endangered,83.8,0.3938678740472751,language,,JP,Hokkaido Ainu
ainu1251,ainu1251,Ainu (China),aib,turk1311,Eurasia,39.2714,76.4209,CN,1585,Definitely Endangered,53.5,0.6080417213093433,language,,CN,Ainu (China)
aiom1240,aiom1240,Aiome,aki,ramu1234,Papunesia,-5.13467,144.765,PG,26,Critically Endangered,91.5,0.0694173244401443,language,,PG,Aiome
airo1242,airo1242,Airoran,air,kwer1242,Papunesia,-1.8522,138.158,ID,638,Severely Endangered,73.9,0.4949397300485484,language,,ID,Airoran
aito1238,aito1238,Aiton,aio,taik1256,Eurasia,26.5145,92.3169,IN,8339,Definitely Endangered,61.2,0.7303582419192978,language,,IN,Aiton
ajab1235,ajab1235,Aja (Benin),ajg,atla1278,Africa,7.06634,1.64992,BJ TG,401,Severely Endangered,75.9,0.5865367299951292,language,,BJ TG,Aja (Benin)
ajas1235,ajas1235,Aja (South Sudan),aja,kres1240,Africa,8.58003,25.6122,SD SS,9,Critically Endangered,95.5,0.1130291452435482,language,,SD SS,Aja (South Sudan)
ajaw1236,ajaw1236,Ajawa,ajw,afro1255,Africa,10.21,9.89205,NG,216,Severely Endangered,75.9,0.5341660218702801,language,,NG,Ajawa
ajie1238,ajie1238,Ajië,aji,aust1307,Papunesia,-21.3029,165.468,NC,98,Critically Endangered,88.3,0.1450305860810564,language,,NC,Ajië
ajyi1238,ajyi1238,Ajyíninka Apurucayali,cpc,araw1281,South America,-9.82364,-74.61947,PE,184,Severely Endangered,67.7,0.5242866999227811,language,,PE,Ajyíninka Apurucayali
akaa1242,akaa1242,Aka,soh,east2386,Africa,11.2101,33.6524,SD,603,Severely Endangered,89.0,0.4507174283661677,language,,SD,Aka
akab1248,akab1248,Akabo,akm,grea1241,Eurasia,12.3629,92.8011,IN,402,Severely Endangered,70.5,0.4403348256692492,language,,IN,Akabo
akab1249,akab1249,Akabea,abj,grea1241,Eurasia,12.3782,92.7818,IN,2608,Definitely Endangered,55.5,0.67674575625428,language,,IN,Akabea
akac1240,akac1240,Akacari,aci,grea1241,Eurasia,13.49086,92.94855,IN,0,Extinct,100.5,0.0,language,,IN,Akacari
akaj1239,akaj1239,Akajeru,akj,grea1241,Eurasia,13.1525,92.9504,IN,15101,Vulnerable,43.3,0.8035300896722827,language,,IN,Akajeru
akak1251,akak1251,Akakora,ack,grea1241,Eurasia,12.0944,92.7466,IN,8,Critically Endangered,90.7,0.2531018478782094,language,,IN,Akakora
akak1252,akak1252,Akakede,akx,grea1241,Eurasia,12.8494,92.8227,IN,3671,Definitely Endangered,62.0,0.7262702068802835,language,,IN,Akakede
akak1253,akak1253,Akakol,aky,grea1241,Eurasia,12.73253,92.78661,IN,1752,Definitely Endangered,61.5,0.6960521821374389,language,,IN,Akakol
akan1250,akan1250,Akan,aka,atla1278,Africa,6.34756,-1.33254,GH TG,771,Severely Endangered,75.2,0.4645729512542443,language,,GH TG,Akan
akar1243,akar1243,Akarbale,acl,grea1241,Eurasia,12.6663,92.8278,IN,15,Critically Endangered,91.0,0.0593368704378433,language,,IN,Akarbale
akas1242,akas1242,Akaselem,aks,atla1278,Africa,8.8858,1.37035,TG,105,Severely Endangered,80.1,0.5855315088464303,language,,TG,Akaselem
akaw1239,akaw1239,Akawaio-Ingariko,ake,cari1283,South America,6.16277,-60.862,BR GY VE,34,Critically Endangered,88.7,0.0807905129882653,language,,BR GY VE,Akawaio-Ingariko
akeb1238,akeb1238,Akebu,keu,atla1278,Africa,7.78365,0.77668,TG,735,Severely Endangered,85.0,0.3002005810070645,language,,TG,Akebu
akee1238,akee1238,Akye,aik,atla1278,Africa,8.59543,8.75768,NG,152,Severely Endangered,82.4,0.4793812860612366,language,,NG,Akye
akei1237,akei1237,Akei,tsr,aust1307,Papunesia,-15.6377,166.767,VU,15,Critically Endangered,94.5,0.2469251849247808,language,,VU,Akei
akeu1235,akeu1235,Akeu,aeu,sino1245,Eurasia,22.1959,101.0823,CN LA MM TH,734,Severely Endangered,76.3,0.4890180521491049,language,,CN LA MM TH,Akeu
akha1245,akha1245,Akha,ahk,sino1245,Eurasia,21.2309,100.964,CN LA MM TH VN,5424,Definitely Endangered,66.6,0.6563496417243089,language,,CN LA MM TH VN,Akha
akhv1239,akhv1239,Northern Akhvakh,akv,nakh1245,Eurasia,42.4003,46.3037,RU,36,Critically Endangered,94.7,0.1250367717582932,language,,RU,Northern Akhvakh
akka1237,akka1237,Akkala Saami,sia,ural1272,Eurasia,67.8625,32.4046,RU,986,Severely Endangered,81.5,0.5121428534020092,language,,RU,Akkala Saami
akka1240,akka1240,Akkadian,akk,afro1255,Eurasia,33.1,44.1,IQ,792,Severely Endangered,76.9,0.504963661829034,language,,IQ,Akkadian
akkk1240,akkk1240,Ak,akq,sepi1257,Papunesia,-3.57026,141.784,PG,638,Severely Endangered,79.7,0.4375200551885634,language,,PG,Ak
akla1240,akla1240,Aklanon,akl,aust1307,Papunesia,11.55432,122.35413,PH,9,Critically Endangered,92.0,0.001603545419701,language,,PH,Aklanon
akol1237,akol1237,Akolet,akt,aust1307,Papunesia,-6.22711,150.182,PG,90,Critically Endangered,91.2,0.1677611887692942,language,,PG,Akolet
akoo1248,akoo1248,Akoose,bss,atla1278,Africa,4.9243,9.65522,CM,2787,Definitely Endangered,53.3,0.6879165558657646,language,,CM,Akoose
akoy1238,akoy1238,Akoye,miw,anga1289,Papunesia,-7.66067,145.669,PG,15,Critically Endangered,94.2,0.0938991923139669,language,,PG,Akoye
akpa1238,akpa1238,Akpa,akf,atla1278,Africa,7.32586,8.01629,NG,956,Severely Endangered,67.5,0.515615853511613,language,,NG,Akpa
akpe1248,akpe1248,Akpes,ibe,atla1278,Africa,7.50256,5.95559,NG,129,Severely Endangered,82.7,0.4193199526926562,language,,NG,Akpes
akpo1243,akpo1243,Akpondu,,atla1278,Africa,9.235232,8.545454,NG,0,Extinct,97.2,0.0,language,,NG,Akpondu
akru1241,akru1241,Chini,afi,ramu1234,Papunesia,-4.88687,144.821,PG,80,Critically Endangered,92.9,0.1639897157392608,language,,PG,Chini
akuk1235,akuk1235,Akuku,ayk,atla1278,Africa,7.40354,6.34264,NG,0,Extinct,95.1,0.0,language,,NG,Akuku
akum1238,akum1238,Akum,aku,atla1278,Africa,6.85716,9.96261,CM NG,197,Severely Endangered,80.2,0.3524552265638045,language,,CM NG,Akum
akun1241,akun1241,Akuntsu,aqz,tupi1275,South America,-12.8322,-60.9716,BR,133,Severely Endangered,74.5,0.3421638107186427,language,,BR,Akuntsu
akur1238,akur1238,Akurio,ako,cari1283,South America,3.19607,-55.6294,SR,87,Critically Endangered,93.7,0.1406602337604464,language,,SR,Akurio
akwa1248,akwa1248,Akwa,akw,atla1278,Africa,-0.39897,15.4623,CG,61,Critically Endangered,90.1,0.0437667418627163,language,,CG,Akwa
alab1237,alab1237,Alabama,akz,musk1252,North America,30.76738,-94.62848,US,34,Critically Endangered,82.2,0.1597330186795786,language,,US,Alabama
alab1246,alab1246,Alabat Island Agta,dul,aust1307,Papunesia,14.1217,122.014,PH,29,Critically Endangered,94.0,0.165654356006299,language,,PH,Alabat Island Agta
alab1254,alab1254,Alaba-K'abeena,alw,afro1255,Africa,7.39014,38.1732,ET,272,Severely Endangered,77.8,0.5080771076090033,language,,ET,Alaba-K'abeena
alac1239,alac1239,Alacalufe-Austral,,kawe1237,South America,-54.788017,-70.140381,CL,1144,Definitely Endangered,52.6,0.702173758859824,language,,CL,Alacalufe-Austral
alac1240,alac1240,Alacalufe-Central,,kawe1237,South America,-53.435719,-71.04126,AR,104,Severely Endangered,78.6,0.4893488402026068,language,,AR,Alacalufe-Central
alac1244,alac1244,Alacatlatzala Mixtec,mim,otom1299,North America,17.25,-98.58,MX,96,Critically Endangered,89.5,0.0746924347363807,language,,MX,Alacatlatzala Mixtec
alag1242,alag1242,Alago,ala,atla1278,Africa,8.34986,8.52085,NG,0,Extinct,96.1,0.0,language,,NG,Alago
alag1248,alag1248,Alagwa,wbj,afro1255,Africa,-4.64148,35.7231,TZ,7,Critically Endangered,90.9,0.0658119421680767,language,,TZ,Alagwa
alak1253,alak1253,Alak,alk,aust1305,Eurasia,15.5565,106.597,LA,6846,Definitely Endangered,45.5,0.6911989326666396,language,,LA,Alak
alam1246,alam1246,Alamblak,amp,sepi1257,Papunesia,-4.66307,143.316,PG,39260,Vulnerable,42.2,0.8431787592637686,language,,PG,Alamblak
alan1249,alan1249,Alangan,alj,aust1307,Papunesia,13.0982,121.022,PH,139,Severely Endangered,77.2,0.571169921936931,language,,PH,Alangan
alap1235,alap1235,Alapmunte,apv,unat1236,South America,-12.329886,-59.996702,BR,162,Severely Endangered,76.1,0.3402893915554403,language,,BR,Alapmunte
alaw1244,alaw1244,Alawa,alh,mang1423,Australia,-15.5458,134.282,AU,28,Critically Endangered,93.1,0.1865229034019311,language,,AU,Alawa
alba1269,alba1269,Inland-Buhi-Daraga Bikol,bhk,aust1307,Papunesia,13.1989,123.49,PH,2540,Definitely Endangered,65.2,0.6494194305758187,language,,PH,Inland-Buhi-Daraga Bikol
alba1271,alba1271,Albanian Sign Language,sqk,sign1238,Eurasia,41.328889,19.817778,AL,108194,Safe,19.9,0.9805620626716772,language,,AL,Albanian Sign Language
alba1273,alba1273,Albarradas Sign Language,lsc,sign1238,North America,17.06144,-96.29642,MX,2827,Definitely Endangered,63.3,0.6306936996699727,language,,MX,Albarradas Sign Language
alco1235,alco1235,Alcozauca Mixtec,xta,otom1299,North America,17.3687,-98.3969,MX,12,Critically Endangered,89.6,0.0220495707627064,language,,MX,Alcozauca Mixtec
aleg1238,aleg1238,Alege,alf,atla1278,Africa,6.59423,9.00394,NG,94,Critically Endangered,92.6,0.1047112871021551,language,,NG,Alege
alek1238,alek1238,Alekano,gah,nucl1709,Papunesia,-6.03901,145.387,PG,336,Severely Endangered,69.8,0.53618889261229,language,,PG,Alekano
aleu1260,aleu1260,Aleut,ale,eski1264,North America,52.1228,-174.29,RU US,0,Extinct,96.3,0.0,language,,RU US,Aleut
alge1235,alge1235,Algerian Sign Language,asp,sign1238,Africa,36.4762,3.5462,DZ,315,Severely Endangered,76.3,0.3616730289004652,language,,DZ,Algerian Sign Language
